StockId,MeanTimeBetweenTrades(seconds),MedianTimeBetweenTrades(seconds),MeanTimeBetweenTickChanges(seconds),MedianTimeBetweenTickChanges(seconds),LongestTimeBetweenTrades(seconds),LongestTimeBetweenTickChanges(seconds),MeanBidAskSpread,MedianBidAskSpread,RoundNumberEffect
TEL NO Equity,24.586515307877537,0.0,2.489697623063414,0.0,59711,59226,0.4768917979976631,0.09999999999999432,0.04677960271734457
NOKISEK SS Equity,36.67768909160015,0.0,0.6330758258487497,0.0,56114,55348,0.0952003996629452,0.09999999999999432,0.2857866734228528
ALFA SS Equity,13.2058662530791,0.0,2.381234823127912,0.0,56109,55350,0.18729731608955674,0.10000000000002274,0.05897915431282215
GETIB SS Equity,9.959507345099253,0.0,2.130367130044185,0.0,56108,55358,0.23116414118501083,0.19999999999998863,0.13145039218384477
STERV FH Equity,19.365776975048497,0.0,3.5376439758669025,0.0,56124,55326,0.014559208627159849,0.009999999999999787,0.47036789297658865
SKAB SS Equity,21.913928841786525,0.0,2.2434129239513187,0.0,56127,55363,0.14285534097597954,0.10000000000002274,0.08205283475891302
DANSKE DC Equity,13.320738991526602,0.0,2.428535497501593,0.0,57949,56234,0.14034498669032813,0.09999999999999432,0.04014260579683304
CHR DC Equity,30.572263549415517,0.0,4.37733853174963,0.0,57947,55934,0.28014711719101365,0.20000000000004547,0.1739453830623738
BWLPG NO Equity,68.86175337186899,0.0,12.81457783346011,0.0,60264,59226,0.3865769912840057,0.15000000000000568,0.0
DSV DC Equity,20.93609433000946,0.0,3.699197177336879,0.0,57921,55934,0.17704561517968867,0.19999999999998863,0.034570596797671035
TLS1V FH Equity,74.5009009009009,0.0,2.243842478779164,0.0,56125,55348,0.008411862714930092,0.009999999999999787,0.0
YTY1V FH Equity,84.27540029112082,0.0,9.091022990665914,0.0,56170,55359,0.012397845205440738,0.010000000000000675,0.0
ORK NO Equity,32.650907845152446,0.0,5.132639162694003,0.0,59712,59233,0.19264913177502027,0.05000000000000426,0.2232244804749943
CGCBV FH Equity,40.945544554455445,0.0,5.582636124093628,0.0,56116,55354,0.046155591297722884,0.03999999999999915,0.0
NOK1V FH Equity,5.259028484231943,0.0,0.753698827903885,0.0,56103,55333,0.006192704215624784,0.004999999999999893,0.0
MEO1V FH Equity,17.96425690350605,0.0,3.1872056902626698,0.0,56121,55336,0.029792109681029664,0.019999999999999574,0.0
OTE1V FH Equity,47.991379310344826,0.0,7.444413099787141,0.0,56112,55325,0.011512203788837829,0.009999999999999787,0.0
JYSK DC Equity,27.195008980054826,0.0,4.479765922531504,0.0,57973,55934,0.20988892583970642,0.19999999999998863,0.11739130434782609
SHBA SS Equity,13.39381882113445,0.0,1.7449696707366193,0.0,56132,55364,0.18972424543911603,0.19999999999998863,0.14526948878093915
SCAB SS Equity,20.755377114998566,0.0,2.7284844155355867,0.0,56119,55343,0.1460369957951767,0.10000000000002274,0.018280880349845867
OPERA NO Equity,20.695063694267517,0.0,5.035605647671127,0.0,59704,59227,0.3312706002178496,0.10000000000000853,0.22689440544257075
ELI1V FH Equity,27.85116413315374,0.0,3.5065845112963636,0.0,56118,55313,0.02111768241633215,0.019999999999999574,0.0
COLOB DC Equity,35.80064708810353,0.0,5.219395293524091,0.0,58064,55934,0.7203947368421053,0.5,0.11198208286674133
DNO NO Equity,20.508536585365853,0.0,4.203945919760426,0.0,60015,59224,0.05341310944030809,0.02999999999999936,0.0
ERICB SS Equity,5.227464788732394,0.0,1.250467458833464,0.0,56290,55341,0.09877142698130006,0.09999999999999432,0.16908325960166845
ASSAB SS Equity,20.04958792160122,0.0,3.176444196404145,0.0,56114,55338,0.6421511188388267,0.5,0.06793628808864266
KRA1V FH Equity,82.40478223740392,0.0,12.011823067383217,0.0,56315,55331,0.0182006857967875,0.019999999999999574,0.0
SWMA SS Equity,24.829230637275923,0.0,3.055298860131985,0.0,56126,55321,0.21132255887205723,0.19999999999998863,0.32075471698113206
SCH NO Equity,34.08534256385772,0.0,4.369023281359656,0.0,59747,59220,1.257879501122745,0.5,0.07864900346103354
SEBA SS Equity,11.03568025006671,0.0,2.2889439113052665,0.0,56108,55363,0.11402856545487844,0.09999999999999432,8.386063886559427E-4
AKA NO Equity,137.5194805194805,0.0,15.486642872593555,0.0,59716,59226,0.12989549409420112,0.06999999999999673,0.0
DETNOR NO Equity,48.35966841481983,0.0,7.900791789665352,0.0,60028,59233,0.24882590132827342,0.14999999999999858,0.0
MAERSKB DC Equity,21.93496492833181,0.0,3.06362771020624,0.0,57916,57120,13.482185979121002,10.0,0.9961881527788367
FUM1V FH Equity,19.72050408719346,0.0,3.041996373659774,0.0,56113,55335,0.01472655433943412,0.010000000000001563,0.0
OUT1V FH Equity,11.980797086454496,0.0,2.332051755413931,0.0,56127,55359,0.010535021613300088,0.009999999999999787,0.0
NRE1V FH Equity,18.926189853556487,0.0,1.7246568831323155,0.0,56108,55361,0.02345725676441112,0.019999999999999574,0.0
MHG NO Equity,20.346712211784798,0.0,2.9866097965398213,0.0,60005,59227,0.1861749056346356,0.05000000000001137,0.0
REC NO Equity,30.997072536051178,0.0,6.180136823704599,0.0,60019,59230,0.012385263309456105,0.005999999999999783,0.0
VOLVB SS Equity,4.982290680664315,0.0,1.045770617833157,0.0,56295,55335,0.10507532393309696,0.09999999999999432,0.054761986713936596
FOE NO Equity,71.387265917603,0.0,6.5592634158631276,0.0,59721,59227,0.4044107157841738,0.25,0.014228657014478282
FLS DC Equity,24.099690039373378,0.0,3.1262532411408817,0.0,57945,55934,0.2760724983014196,0.20000000000004547,0.0059473948735131515
INVEB SS Equity,15.961459998897281,0.0,1.7748046325624625,0.0,56114,55355,0.21229654826973118,0.19999999999998863,0.12228470614180174
SAND SS Equity,13.432926546331958,0.0,1.7880413691997807,0.0,56111,55345,0.06588017140122684,0.04999999999999716,0.0
STL NO Equity,9.358634459282534,0.0,1.3983047951057794,0.0,59719,59226,0.24369728976449503,0.09999999999999432,0.0
NZYMB DC Equity,12.51709885137487,0.0,1.4523675818776198,0.0,57911,55934,0.2219507260711238,0.19999999999998863,0.08322819229932565
